MARUTI				27.432277028477927				398.0
YESBANK				3.690518632249044				376.0
INDUSINDBK				20.640711643458268				370.0
BAJFINANCE				19.968804195666134				356.0
HDFCBANK				19.73992383457687				335.0
HINDPETRO				22.152344256035544				318.0
ADANIPORTS				35.735246590733816				316.0
UPL				30.162585306465754				312.0
ULTRACEMCO				20.970151053171886				312.0
HDFC				5.938875926287681				308.0
ASIANPAINT				8.371988727467167				305.0
AUROPHARMA				4.494636517692795				305.0
IBULHSGFIN				23.906219361372514				302.0
TATASTEEL				16.932552838968924				299.0
AXISBANK				54.98919920179879				297.0
LT				18.883643648394184				296.0
EICHERMOT				46.91284795634589				294.0
DRREDDY				19.114646777232007				293.0
KOTAKBANK				13.949238293167882				292.0
LUPIN				18.041105401076088				289.0
AMBUJACEM				5.403885505541985				288.0
BAJAJ_AUTO				-2.1563898272891233				287.0
ICICIBANK				21.361994426035825				287.0
RELIANCE				32.50503436186295				287.0
HINDUNILVR				0.48757088067310633				284.0
BPCL				23.560323949996985				279.0
CIPLA				-9.478376057433811				278.0
ZEEL				15.451058975862757				277.0
MM				14.809185928470933				276.0
TATAMOTORS				-7.845721776083373				272.0
WIPRO				-13.838053874064087				268.0
TCS				8.972976593191193				267.0
TECHM				1.6876853857108691				267.0
HCLTECH				-29.631928015587604				266.0
ITC				-11.080088332813736				264.0
HINDALCO				21.705739791031196				263.0
GAIL				1.6577764762568725				261.0
SBIN				33.132556013144324				261.0
SUNPHARMA				23.511370038642614				260.0
HEROMOTOCO				35.81615550038178				258.0
IOC				3.418947517819397				258.0
INFY				-16.749831569810453				253.0
BHARTIARTL				4.336179934540355				238.0
BOSCHLTD				3.8884893391191127				238.0
POWERGRID				29.591381194808207				234.0
COALINDIA				18.19092367117515				230.0
NTPC				-3.9033923479505934				225.0
VEDL				8.115573282553584				217.0
ONGC				6.26928736716552				203.0
INFRATEL				-28.492374451343334				200.0
